,st_code,st_name,交易所產業分類,TEJ產業分類,歆凱分組,date,近一日漲跌％,近一週漲跌％,近一月漲跌％
1492,2596,綠意,M2500 建材營造,M25A 建設,ML無分,2023/03/29,-3.01,-4.56,0.96
1493,2923,鼎固-KY,M2500 建材營造,M25A 建設,ML無分,2023/03/29,0.22,-0.43,-3.96
1494,3052,夆典,M2500 建材營造,M25A 建設,ML無分,2023/03/29,-0.45,-1.35,-2.65
1495,3056,總太,M2500 建材營造,M25A 建設,ML無分,2023/03/29,0.46,3.42,30.94
1496,3188,鑫龍騰,M2500 建材營造,M25A 建設,ML無分,2023/03/29,-0.39,-0.78,-1.16
1497,3266,昇陽,M2500 建材營造,M25A 建設,ML無分,2023/03/29,1.2,0.8,4.12
1498,3489,森寶,M2500 建材營造,M25A 建設,ML無分,2023/03/29,1.87,3.32,2.83
1499,3512,皇龍,M2500 建材營造,M25A 建設,ML無分,2023/03/29,0.16,-2.37,6.37
1500,4113,聯上,M2500 建材營造,M25A 建設,ML無分,2023/03/29,-1.6,3.01,3.36
1501,4416,三圓,M2500 建材營造,M25A 建設,ML無分,2023/03/29,0.46,1.97,-0.23
1502,4907,富宇,M2500 建材營造,M25A 建設,ML無分,2023/03/29,-9.91,-17.13,-7.41
1503,5206,坤悅,M2500 建材營造,M25A 建設,ML無分,2023/03/29,-0.56,-1.39,-1.66
1504,5213,亞昕,M2500 建材營造,M25A 建設,ML無分,2023/03/29,0.61,3.97,3.54
1505,5324,士開,M2500 建材營造,M25A 建設,ML無分,2023/03/29,0.0,-1.0,-4.89
1506,5455,昇益,M2500 建材營造,M25A 建設,ML無分,2023/03/21,0.38,-7.8,-5.84
1507,5508,永信建,M2500 建材營造,M25A 建設,ML無分,2023/03/29,-0.17,-0.82,0.33
1508,5512,力麒,M2500 建材營造,M25A 建設,ML無分,2023/03/29,1.02,-4.33,-7.87
1509,5514,三豐,M2500 建材營造,M25A 建設,ML無分,2023/03/29,1.67,1.67,3.98
1510,5519,隆大,M2500 建材營造,M25A 建設,ML無分,2023/03/29,0.42,-1.04,0.42
1511,5522,遠雄,M2500 建材營造,M25A 建設,ML無分,2023/03/29,0.0,-2.07,-3.23
1512,5523,豐謙,M2500 建材營造,M25A 建設,ML無分,2023/03/29,0.2,0.2,-0.4
1513,5525,順天,M2500 建材營造,M25A 建設,ML無分,2023/03/29,0.0,5.34,10.81
1514,5529,鉅陞,M2500 建材營造,M25A 建設,ML無分,2023/03/29,0.0,-0.84,-5.62
1515,5531,鄉林,M2500 建材營造,M25A 建設,ML無分,2023/03/29,0.33,-0.11,-1.3
1516,5533,皇鼎,M2500 建材營造,M25A 建設,ML無分,2023/03/29,-0.28,0.56,0.28
1517,5534,長虹,M2500 建材營造,M25A 建設,ML無分,2023/03/29,-0.52,-0.52,0.0
1518,6171,大城地產,M2500 建材營造,M25A 建設,ML無分,2023/03/29,0.44,-11.24,-6.34
1519,6177,達麗,M2500 建材營造,M25A 建設,ML無分,2023/03/29,-0.47,-2.16,0.95
1520,6186,新潤,M2500 建材營造,M25A 建設,ML無分,2023/03/29,-0.99,0.88,5.39
1521,6212,理銘,M2500 建材營造,M25A 建設,ML無分,2023/03/29,-0.61,-1.01,-0.41
1522,6219,富旺,M2500 建材營造,M25A 建設,ML無分,2023/03/29,0.9,0.0,3.69
1523,6264,富裔,M2500 建材營造,M25A 建設,ML無分,2023/03/29,0.0,0.62,-0.12
1524,9906,欣巴巴,M2500 建材營造,M25A 建設,ML無分,2023/03/29,-3.72,-3.9,7.26
1525,9946,三發地產,M2500 建材營造,M25A 建設,ML無分,2023/03/29,0.0,0.0,-1.65
1526,2718,晶悅,M2700 觀光事業,M25A 建設,ML無分,2023/03/29,6.52,17.37,38.03
1527,2348,海悅,M9900 其他,M25A 建設,ML無分,2023/03/29,0.59,1.79,0.74
1528,2514,龍邦,M9900 其他,M25A 建設,ML無分,2023/03/29,-0.29,0.0,0.88
1529,9945,潤泰新,M9900 其他,M25A 建設,68.0,2023/03/29,-0.85,-2.92,-19.95
1530,1472,三洋實業,M1400 紡織纖維,M25B 營造,ML無分,2023/03/29,4.27,7.33,9.65
1531,6122,擎邦,M1500 電機機械,M25B 營造,ML無分,2023/03/29,4.86,13.32,57.29
1532,2515,中工,M2500 建材營造,M25B 營造,2.0,2023/03/29,0.77,-0.76,5.52
1533,2516,新建,M2500 建材營造,M25B 營造,ML無分,2023/03/29,0.21,-1.02,-5.27
1534,2535,達欣工,M2500 建材營造,M25B 營造,ML無分,2023/03/29,-1.63,-0.9,4.73
1535,2543,皇昌,M2500 建材營造,M25B 營造,ML無分,2023/03/29,-0.11,1.08,1.08
1536,2546,根基,M2500 建材營造,M25B 營造,ML無分,2023/03/29,-1.04,-0.45,17.64
1537,2597,潤弘,M2500 建材營造,M25B 營造,68.0,2023/03/29,0.4,3.67,4.53
1538,3703,欣陸,M2500 建材營造,M25B 營造,ML無分,2023/03/29,-0.48,-1.44,-1.9
1539,5511,德昌,M2500 建材營造,M25B 營造,ML無分,2023/03/29,0.15,3.91,7.1
1540,5515,建國,M2500 建材營造,M25B 營造,ML無分,2023/03/29,1.19,-1.16,8.47
1541,5516,雙喜,M2500 建材營造,M25B 營造,ML無分,2023/03/29,-6.48,-14.44,-14.6
1542,5521,工信,M2500 建材營造,M25B 營造,ML無分,2023/03/29,1.79,5.71,5.56
1543,8080,永利聯合,M2500 建材營造,M25C 工程承攬,ML無分,2023/03/29,-1.39,4.93,-2.29
1544,6179,亞通,M9900 其他,M25C 工程承攬,ML無分,2023/03/29,1.8,-1.39,-5.03
1545,6754,匯僑設計,M9900 其他,M25C 工程承攬,ML無分,2023/03/29,4.1,5.54,11.86
1546,9933,中鼎,M9900 其他,M25C 工程承攬,ML無分,2023/03/29,-0.71,-0.71,-5.07
1547,9940,信義,M9900 其他,M25D 仲介建經,ML無分,2023/03/29,-0.17,0.17,1.59
1548,5530,龍巖,M9900 其他,M25E 靈骨塔業,ML無分,2023/03/29,-0.88,-0.38,2.48
1549,6199,天品,M9900 其他,M25E 靈骨塔業,ML無分,2023/03/29,0.0,-0.27,1.09
1550,1437,勤益控,M9900 其他,M25F 物業管理,ML無分,2023/03/29,-0.7,1.26,-5.69
