,st_code,st_name,交易所產業分類,TEJ產業分類,歆凱分組,近一日漲跌％,近一週漲跌％,近一月漲跌％
143,1410,南染,M1400 紡織纖維,M14E 染整,ML無分組,-0.64,-0.39,-4.44
144,1463,強盛,M1400 紡織纖維,M14E 染整,ML無分組,-0.69,1.05,-4.0
145,1470,大統新創,M1400 紡織纖維,M14E 染整,ML無分組,0.0,1.82,2.35
146,1325,恒大,M1300 塑膠工業,M14F 不織布,ML無分組,0.63,1.47,0.84
147,6504,南六,M9900 其他,M14F 不織布,ML無分組,-0.13,0.26,6.01
148,8929,富堡,M9900 其他,M14F 不織布,ML無分組,0.0,2.12,2.36
149,9919,康那香,M9900 其他,M14F 不織布,ML無分組,0.58,1.76,-1.14
150,9944,新麗,M9900 其他,M14F 不織布,ML無分組,0.0,0.25,0.25
151,4417,金洲,M1400 紡織纖維,M14Z 其他紡織,ML無分組,0.25,1.63,5.74
152,4430,耀億,M9900 其他,M14Z 其他紡織,ML無分組,0.22,-0.86,3.14
153,8404,百和興業-KY,M9900 其他,M14Z 其他紡織,ML無分組,0.18,0.92,-2.15
154,8932,宏大,M9900 其他,M14Z 其他紡織,ML無分組,0.0,-0.11,-8.65
155,9938,百和,M9900 其他,M14Z 其他紡織,ML無分組,-1.17,0.51,-4.68
156,1527,鑽全,M1500 電機機械,M15A1 工具機,ML無分組,-0.58,-1.05,-3.95
157,1528,恩德,M1500 電機機械,M15A1 工具機,ML無分組,-1.4,1.44,-1.4
158,1530,亞崴,M1500 電機機械,M15A1 工具機,ML無分組,0.31,1.72,0.62
159,1531,高林股,M1500 電機機械,M15A3 紡織工具機,ML無分組,0.0,2.12,-1.37
160,1532,勤美,M1500 電機機械,M15A2 模具零件,ML無分組,-1.12,-0.14,5.07
161,1538,正峰,M1500 電機機械,M15A1 工具機,ML無分組,1.75,2.35,-3.23
162,1539,巨庭,M1500 電機機械,M15A1 工具機,ML無分組,-1.88,2.12,6.66
163,1540,喬福,M1500 電機機械,M15A1 工具機,ML無分組,-0.56,-0.56,3.2
164,1541,錩泰,M1500 電機機械,M15A1 工具機,ML無分組,-1.17,-1.17,-10.83
165,1558,伸興,M1500 電機機械,M15A3 紡織工具機,ML無分組,0.0,0.45,-7.79
166,1570,力肯,M1500 電機機械,M15A1 工具機,ML無分組,-0.83,-0.83,-3.25
167,1583,程泰,M1500 電機機械,M15A1 工具機,ML無分組,0.15,3.5,9.31
168,1589,永冠-KY,M1500 電機機械,M15A2 模具零件,41.0,-2.81,3.52,15.89
169,1590,亞德客-KY,M1500 電機機械,M15A2 模具零件,7.0,-0.86,4.07,6.98
170,1591,駿吉-KY,M1500 電機機械,M15A1 工具機,ML無分組,-9.9,3.87,8.46
