st_code,st_name,rev_period,rev,new_industry_name,minor_industry_name,mom,yoy
2412,中華電,* 2023/03,16788.0,M2327 通信網路業,M23K3 電信及IDC,-0.06387382705420251,-0.0309
2439,美律,* 2023/03,2412.0,M2327 通信網路業,M23U2 聲學產品,0.2462733224138021,0.1014
2441,超豐,* 2023/03,1229.0,M2324 半導體,M23G2 IC封測,0.2282139430764311,-0.2675
2449,京元電子,* 2023/03,2886.0,M2324 半導體,M23G2 IC封測,0.15541676675474408,-0.1224
2450,神腦,* 2023/02,2420.0,M2327 通信網路業,M23T1 3C通路,-0.10481108554602829,-0.1048
2454,聯發科,* 2023/03,40903.0,M2324 半導體,M23G5 IC設計,0.34950464604660436,-0.3088
2455,全新,* 2023/03,213.0,M2327 通信網路業,M23G3A 化合物SEMI,1.1681596091205213,-0.2559
2458,義隆,* 2023/03,987.0,M2324 半導體,M23G5 IC設計,0.25022167050895544,-0.4002
2474,可成,* 2023/03,2397.0,M2331 其他電子業,M23D4 機殼,1.2244700991128106,-0.1067
2481,強茂,* 2023/03,1079.0,M2324 半導體,M23D1 整流二極體,0.17033276931754085,-0.1673
2485,兆赫,* 2023/02,346.0,M2327 通信網路業,M23K2 衛星微波,-0.31137426609612895,-0.3114
2489,瑞軒,* 2023/02,919.0,M2326 光電業,M23C1 顯示器,-0.17442978161466807,-0.1744
2492,華新科,* 2023/02,2480.0,M2328 電子零組件,M23D5 被動元件,-0.03945217788725962,-0.0395
2498,宏達電,* 2023/03,372.0,M2327 通信網路業,M23KX 其他網通,0.48036133550877474,-0.1255
2515,中工,* 2023/02,1132.0,M2500 建材營造,M25B 營造,-0.2641514339946436,-0.2642
2520,冠德,* 2023/03,1494.0,M2500 建材營造,M25A 建設,-0.32525201430790907,-0.1307
2534,宏盛,* 2023/03,665.0,M2500 建材營造,M25A 建設,1.0711349196461941,0.2489
2542,興富發,* 2023/03,2762.0,M2500 建材營造,M25A 建設,-0.013451633412628625,0.3987
2545,皇翔,* 2023/03,420.0,M2500 建材營造,M25A 建設,1.0153550863723608,-0.5161
2547,日勝生,* 2023/02,363.0,M2500 建材營造,M25A 建設,-0.06416767640310395,-0.0642
2548,華固,* 2023/03,617.0,M2500 建材營造,M25A 建設,-0.21384248818215415,-0.393
2601,益航,* 2023/03,493.0,M2900 貿易百貨,M26A1 散裝輪,0.1275787932848451,-0.1139
2603,長榮,* 2023/03,38476.0,M2600 航運業,M26A2 貨櫃輪,1.0597231932454612,-0.3442
2605,新興,* 2023/03,292.0,M2600 航運業,M26A1 散裝輪,-0.07024135515506592,-0.0589
2606,裕民,* 2023/03,954.0,M2600 航運業,M26A1 散裝輪,0.08539832070448489,-0.2158
2609,陽明,* 2023/02,27048.0,M2600 航運業,M26A2 貨櫃輪,1.3918185797471827,1.3918
2610,華航,* 2023/03,11586.0,M2600 航運業,M26D 空運業,-0.08563726016326897,-0.0583
2615,萬海,* 2023/03,15975.0,M2600 航運業,M26A2 貨櫃輪,1.1848723405419304,-0.3429
2618,長榮航,* 2023/03,10693.0,M2600 航運業,M26D 空運業,-0.16999919274213085,-0.005
2633,台灣高鐵,* 2023/03,3562.0,M2600 航運業,M26B2 鐵路運輸,-0.04491218662019037,0.1055
2634,漢翔,* 2023/03,2567.0,M2600 航運業,M22B3 航空器製造,-0.19571381573794122,0.0809
2801,彰銀,* 2023/03,2948.0,M2800 金融業,M28A 本國銀行,-0.01209744981736534,0.0446
2809,京城銀,* 2023/03,472.0,M2800 金融業,M28A 本國銀行,-0.5544689968944979,-2.3564
2812,台中銀,* 2023/03,1211.0,M2800 金融業,M28A 本國銀行,-0.08720886409889202,-0.0428
2834,臺企銀,* 2023/03,2395.0,M2800 金融業,M28A 本國銀行,-0.03020732102364752,0.1688
2845,遠東銀,* 2023/02,827.0,M2800 金融業,M28A 本國銀行,-0.13296918738139923,-0.133
2880,華南金,* 2023/02,3646.0,M2800 金融業,M28L 金融控股,-0.1975402385369965,-0.1975
2881,富邦金,* 2023/03,21110.0,M2800 金融業,M28L 金融控股,1.8402860468088826,-0.3294
2882,國泰金,* 2023/03,33854.0,M2800 金融業,M28L 金融控股,1.5498806179246347,-0.3316
2883,開發金,* 2023/02,8824.0,M2800 金融業,M28L 金融控股,2.8633129747597468,2.8633
2884,玉山金,* 2023/03,4644.0,M2800 金融業,M28L 金融控股,0.28512722593499645,-0.0082
2885,元大金,* 2023/02,7154.0,M2800 金融業,M28L 金融控股,-0.02877692958293344,-0.0288
2886,兆豐金,* 2023/02,4592.0,M2800 金融業,M28L 金融控股,-0.1983828001438442,-0.1984
2887,台新金,* 2023/02,4790.0,M2800 金融業,M28L 金融控股,-0.2416134160011653,-0.2416
2888,新光金,* 2023/02,8301.0,M2800 金融業,M28L 金融控股,1.5083778793766678,1.5084
2890,永豐金,* 2023/03,3688.0,M2800 金融業,M28L 金融控股,-0.07324807952777863,-0.1755
2891,中信金,* 2023/02,13490.0,M2800 金融業,M28L 金融控股,0.7745423548663766,0.7745
2892,第一金,* 2023/02,4813.0,M2800 金融業,M28L 金融控股,-0.17049706408009285,-0.1705
2903,遠百,* 2023/03,3086.0,M2900 貿易百貨,M29A1 百貨購物中,0.24072771132777163,-0.0091
2913,農林,* 2023/03,28.0,M2900 貿易百貨,M29B 貿易業,-0.07925024662939822,-0.0234
2915,潤泰全,* 2023/03,195.0,M2900 貿易百貨,M29A2 量販,-0.01145696035688934,-0.0616
3006,晶豪科,* 2023/03,1318.0,M2324 半導體,M23G5 IC設計,0.4811485081755352,-0.2762
3008,大立光,* 2023/03,3784.0,M2326 光電業,M23U1 光學鏡頭,0.4750481417667833,0.0074
3017,奇鋐,* 2023/03,4198.0,M2325 電腦及週邊,M23D9B 散熱零組件,-0.01407259882759659,0.0014
3019,亞光,* 2023/03,1462.0,M2326 光電業,M23U1 光學鏡頭,0.2061810591622735,-0.1719
3022,威強電,* 2023/03,669.0,M2325 電腦及週邊,M23B5B 工業電腦,-0.07448397985722986,0.4341
3034,聯詠,* 2023/03,7774.0,M2324 半導體,M23G5 IC設計,0.01734618429748283,-0.3766
3035,智原,* 2023/03,1030.0,M2324 半導體,M23G5 IC設計,-0.04386168484567185,-0.068
