可轉債名稱,可轉債代碼,擔保銀行/信用評等(TCRI),權利金(佰元報價),選擇權到期日,賣回價格(A),賣回日期(B),剩餘年期,折現率(C),權利金參考價,現股參考價,轉換價格,CB轉換價值,CB參考價,溢(折)價%,股價波動率120天%,股價波動率240天%,流通餘額占發行總額%,原始發行量,產業,,,
耀登一,31381,兆豐銀,4.55 ,2025/1/4,100,2025/1/18,1.93,2.20%,7.55 ,141.5,224.6,63.00 ,103,63.5 ,52.63,51.41,100,"400,000,000 ",電子–通信網路,,,
晶宏二,31412,6,4.00 ,2023/12/13,100,2023/12/27,0.87,4.25%,1.45 ,101,281.9,35.83 ,97.45,172.0 ,58.02,61.98,100,"800,000,000 ",電子–半導體,,,
正達三,31493,板信銀,2.98 ,2024/3/12,100,2024/3/26,1.12,2.40%,6.98 ,18.9,35.57,53.13 ,104,95.7 ,49.82,51.12,100,"500,000,000 ",電子–光電,,,
波若威二,31632,6,2.90 ,2023/9/24,100,2023/10/8,0.65,4.00%,7.90 ,54.9,61,90.00 ,105,16.7 ,46.27,49.14,100,"300,000,000 ",電子–通信網路,,,
新洲二,31712,一銀,1.71 ,2023/10/1,100,2023/10/15,0.67,2.10%,5.06 ,17.2,18.7,91.98 ,103.35,12.4 ,23.74,24.65,100,"200,000,000 ",貿易百貨,,,
樺晟四,32024,華南銀,0.58 ,2023/9/9,101,2023/9/23,0.61,2.10%,2.58 ,15.6,23.21,67.21 ,102,51.8 ,33.22,35.22,100,"300,000,000 ",電子–電子零組件,,,
全科四,32094,6,4.90 ,2024/7/7,101.5056,2024/7/21,1.44,4.25%,27.00 ,40.55,33,122.88 ,122.1,(0.6),21.94,29.91,79.6,"600,000,000 ",電子–電子通路,,,
海德威一,32681,合庫,4.51 ,2024/12/27,100,2025/1/10,1.91,2.20%,9.76 ,23.45,28.36,82.69 ,105.25,27.3 ,48.57,44.78,100,"200,000,000 ",電子–半導體,,,
東浦三,32903,華南銀,6.69 ,2025/11/8,100,2025/11/22,2.78,2.30%,32.29 ,24.15,20.35,118.67 ,125.6,5.8 ,35.92,38.8,100,"300,000,000 ",電子–電子零組件,,,
佳穎一,33101,彰銀,5.53 ,2025/9/4,100.7523,2025/9/18,2.60,2.30%,113.53 ,53.2,25.42,209.28 ,208,(0.6),27.5,29.57,70.11,"600,000,000 ",電子–電子零組件,,,
建舜電四,33224,6,6.73 ,2024/8/23,101.0025,2024/9/6,1.56,4.75%,13.73 ,20.45,22.04,92.79 ,107,15.3 ,41.64,49.96,99.77,"400,000,000 ",電子–電子零組件,,,
雙鴻四,33244,4,0.88 ,2023/10/29,101.51,2023/11/12,0.75,2.80%,8.68 ,157.5,220.2,71.53 ,107.8,50.7 ,43.05,50.68,100,"1,000,000,000 ",電子–其他電子,,,
泰谷四,33394,板信銀,4.03 ,2024/8/19,100,2024/9/2,1.55,2.40%,5.48 ,12.55,19.1,65.71 ,101.45,54.4 ,36.12,43.63,95.1,"300,000,000 ",電子–光電,,,
崇越電一,33881,4,9.21 ,2025/10/26,100,2025/11/9,2.74,3.25%,16.21 ,74.6,73.6,101.36 ,107,5.6 ,13.91,14.07,100,"700,000,000 ",電子–電子零組件,,,
京鼎二,34132,4,2.42 ,2023/11/2,100,2023/11/16,0.76,2.80%,18.87 ,199.5,183.5,108.72 ,116.45,7.1 ,32.35,33.04,95.4,"2,000,000,000 ",電子–半導體,,,
融程電二,34162,5,4.17 ,2024/3/8,100,2024/3/22,1.10,3.50%,23.17 ,85.7,71.4,120.03 ,119,(0.9),10.59,10.38,86.86,"500,000,000 ",電子–電腦及週邊設備,,,
進泰電子三,34653,中信銀,0.18 ,2023/4/7,100.5006,2023/4/21,0.18,2.10%,0.68 ,97,215.5,45.01 ,100.5,123.3 ,36.67,42.45,93.58,"600,000,000 ",電子–電子零組件,,,
力致三,34833,6,1.64 ,2023/9/15,101.0025,2023/9/29,0.62,3.75%,6.84 ,60.2,72.6,82.92 ,105.2,26.9 ,40.63,40.28,100,"300,000,000 ",電子–電腦及週邊設備,,,
