,,,,,,,,,,,,,
,代號,名稱,年月,營業收入淨額q,累計每股盈餘est,"eps
成長","eps
衰退","eps
近五月
成長","eps
連續
成長","eps
近五月
衰退","eps
連續
衰退",TEJ  產業別,TEJ 子產業別
212,3026,禾伸堂,2023/06,3299.5,7.18,0,1,1,0,4,3,M2328 電子零組件,M23D5 被動元件
213,1339,昭輝,2023/07,501.9,7.17,1,0,4,2,1,0,M2200 汽車工業,M15D 汽車組件
214,3265,台星科,2023/07,890,7.16,0,1,2,0,3,2,M2324 半導體,M23G2 IC封測
215,2065,世豐,2023/07,682.9,7.12,1,0,4,2,1,0,M2000 鋼鐵工業,M20A1 線材
216,6412,群電,2023/07,9501.4,7.09,0,1,3,0,2,1,M2328 電子零組件,M23D3 電源供應器
217,5425,台半,2023/07,4004.8,7.08,0,1,4,0,1,1,M2324 半導體,M23D1 整流二極體
218,4571,鈞興-KY,2023/07,598.6,7.08,1,0,2,2,3,0,M1500 電機機械,M15D 汽車組件
219,1723,中碳,2023/07,2236.1,7.07,0,1,1,0,4,2,M1721 化學工業,M17Z 其他化學
220,2439,美律,2023/07,10381,7.07,0,1,3,0,2,1,M2327 通信網路業,M23U2 聲學產品
221,6261,久元,2023/07,930.5,7.04,0,1,1,0,4,2,M2324 半導體,M23G2 IC封測
222,3141,晶宏,2023/07,398.2,7.02,0,1,2,0,3,2,M2324 半導體,M23G5 IC設計
223,6263,普萊德,2023/07,504.3,6.99,1,0,3,1,2,0,M2327 通信網路業,M23E2 網路卡
224,3580,友威科,2023/07,308.2,6.98,0,1,2,0,3,1,M2331 其他電子業,M23H2 電機設備
225,2382,廣達,2023/07,327216.7,6.95,0,1,3,0,2,1,M2325 電腦及週邊,M23A1 EMS
226,3527,聚積,2023/07,493.4,6.88,0,1,2,0,3,2,M2324 半導體,M23G5 IC設計
227,8080,永利聯合,2023/07,120.7,6.88,0,1,2,0,3,2,M2328 電子零組件,M25C 工程承攬
228,2480,敦陽科,2023/07,1858.4,6.83,1,0,4,3,1,0,M2330 資訊服務業,M23X1 系統整合
