,歆凱分組,代號,名稱,交易所主產業代碼,交易所子產業代碼,TEJ主產業代碼,TEJ子產業代碼,new_industry_name,minor_industry_name
652,,2633.0,台灣高鐵,M2600,,26B,,M2600 航運業,M26B2 鐵路運輸
653,,2634.0,漢翔,M2600,,22B,,M2600 航運業,M22B3 航空器製造
654,,2637.0,慧洋-KY,M2600,,26A,,M2600 航運業,M26A1 散裝輪
655,,2640.0,大車隊,M9900,,26B,,M9900 其他,M26B1 汽車陸運
656,,2641.0,正德,M2600,,26A,,M2600 航運業,M26A1 散裝輪
657,,2701.0,萬企,M2700,,27A,,M2700 觀光事業,M27A1 飯店業
658,,2702.0,華園,M2700,,27A,,M2700 觀光事業,M27A1 飯店業
659,,2704.0,國賓,M2700,,27A,,M2700 觀光事業,M27A1 飯店業
660,,2705.0,六福,M2700,,27A,,M2700 觀光事業,M27A1 飯店業
661,,2706.0,第一店,M2700,,27A,,M2700 觀光事業,M27A1 飯店業
662,,2712.0,遠雄來,M2700,,27A,,M2700 觀光事業,M27A1 飯店業
663,,2718.0,晶悅,M2700,,25A,,M2700 觀光事業,M25A 建設
664,,2719.0,燦星旅,M2700,,27C,,M2700 觀光事業,M27C 旅行社
665,,2722.0,夏都,M2700,,27A,,M2700 觀光事業,M27A1 飯店業
666,,2724.0,富驛-KY,M2700,,27A,,M2700 觀光事業,M27A1 飯店業
667,,2726.0,雅茗-KY,M2700,,27A,,M2700 觀光事業,M27A2 餐飲業
668,,2729.0,瓦城,M2700,,27A,,M2700 觀光事業,M27A2 餐飲業
669,,2734.0,易飛網,M2700,,27C,,M2700 觀光事業,M27C 旅行社
670,,2736.0,高野,M2700,,27A,,M2700 觀光事業,M27A1 飯店業
671,,2739.0,寒舍,M2700,,27A,,M2700 觀光事業,M27A1 飯店業
672,,2740.0,天蔥,M2700,,27A,,M2700 觀光事業,M27A2 餐飲業
673,,2745.0,五福,M2700,,27C,,M2700 觀光事業,M27C 旅行社
674,,2748.0,雲品,M2700,,27A,,M2700 觀光事業,M27A1 飯店業
675,,2752.0,豆府,M2700,,27A,,M2700 觀光事業,M27A2 餐飲業
676,,2754.0,亞洲藏壽司,M2700,,27A,,M2700 觀光事業,M27A2 餐飲業
677,,2755.0,揚秦,M2700,,27A,,M2700 觀光事業,M27A2 餐飲業
678,,2801.0,彰銀,M2800,,28A,,M2800 金融業,M28A 本國銀行
679,,2809.0,京城銀,M2800,,28A,,M2800 金融業,M28A 本國銀行
680,,2812.0,台中銀,M2800,,28A,,M2800 金融業,M28A 本國銀行
681,,2816.0,旺旺保,M2800,,28J,,M2800 金融業,M28J 產險業
682,,2820.0,華票,M2800,,28F,,M2800 金融業,M28F 票券公司
683,,2823.0,中壽,M2800,,28I,,M2800 金融業,M28I 壽險業
684,,2832.0,台產,M2800,,28J,,M2800 金融業,M28J 產險業
685,,2834.0,臺企銀,M2800,,28A,,M2800 金融業,M28A 本國銀行
686,,2836.0,高雄銀,M2800,,28A,,M2800 金融業,M28A 本國銀行
687,,2838.0,聯邦銀,M2800,,28A,,M2800 金融業,M28A 本國銀行
688,,2841.0,台開,M2500,,25B,,M2500 建材營造,M25B 營造
689,,2845.0,遠東銀,M2800,,28A,,M2800 金融業,M28A 本國銀行
690,,2849.0,安泰銀,M2800,,28A,,M2800 金融業,M28A 本國銀行
691,,2850.0,新產,M2800,,28J,,M2800 金融業,M28J 產險業
692,,2851.0,中再保,M2800,,28J,,M2800 金融業,M28J 產險業
693,,2852.0,第一保,M2800,,28J,,M2800 金融業,M28J 產險業
694,,2855.0,統一證,M2800,,30A,,M2800 金融業,M30A 證券
695,,2867.0,三商壽,M2800,,28I,,M2800 金融業,M28I 壽險業
696,,2880.0,華南金,M2800,,28L,,M2800 金融業,M28L 金融控股
697,,2881.0,富邦金,M2800,,28L,,M2800 金融業,M28L 金融控股
698,,2882.0,國泰金,M2800,,28L,,M2800 金融業,M28L 金融控股
699,,2883.0,開發金,M2800,,28L,,M2800 金融業,M28L 金融控股
700,,2884.0,玉山金,M2800,,28L,,M2800 金融業,M28L 金融控股
701,,2885.0,元大金,M2800,,28L,,M2800 金融業,M28L 金融控股
702,,2886.0,兆豐金,M2800,,28L,,M2800 金融業,M28L 金融控股
703,,2887.0,台新金,M2800,,28L,,M2800 金融業,M28L 金融控股
704,,2888.0,新光金,M2800,,28L,,M2800 金融業,M28L 金融控股
705,,2889.0,國票金,M2800,,28L,,M2800 金融業,M28L 金融控股
706,,2890.0,永豐金,M2800,,28L,,M2800 金融業,M28L 金融控股
707,,2891.0,中信金,M2800,,28L,,M2800 金融業,M28L 金融控股
708,,2892.0,第一金,M2800,,28L,,M2800 金融業,M28L 金融控股
709,,2897.0,王道銀行,M2800,,28A,,M2800 金融業,M28A 本國銀行
710,,2901.0,欣欣,M2900,,29A,,M2900 貿易百貨,M29A1 百貨購物中
711,,2903.0,遠百,M2900,,29A,,M2900 貿易百貨,M29A1 百貨購物中
712,,2904.0,匯僑,M9900,,26C,,M9900 其他,M26C 貨運倉儲業
713,,2905.0,三商,M2900,,29A,,M2900 貿易百貨,M29A9 其他零售
714,,2906.0,高林,M2900,,29B,,M2900 貿易百貨,M29B 貿易業
715,,2908.0,特力,M2900,,29B,,M2900 貿易百貨,M29B 貿易業
716,,2910.0,統領,M2900,,29A,,M2900 貿易百貨,M29A1 百貨購物中
717,,2911.0,麗嬰房,M2900,,29A,,M2900 貿易百貨,M29A9 其他零售
718,,2912.0,統一超,M2900,,29A,,M2900 貿易百貨,M29A4 便利商店
719,,2916.0,滿心,M2900,,29A,,M2900 貿易百貨,M29A9 其他零售
720,,2923.0,鼎固-KY,M2500,,25A,,M2500 建材營造,M25A 建設
721,,2924.0,東凌-KY,M2900,,29A,,M2900 貿易百貨,M29A9 其他零售
